sku;Ano;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
10109;2017;6;12;2;2;2;5;0;4;1;0;0;13
10109;2018;1;3;0;2;2;10;1;0;0;1;3;0
10109;2019;3;3;0;0;2;4;2;5;8;0;0;1
10110;2019;1;0;1;0;0;0;0;1;1;0;0;0
10110;2017;1;0;1;4;3;4;2;0;1;0;1;0
10110;2016;0;0;3;0;2;1;1;2;1;4;4;0
10111;2017;0;0;0;0;0;0;0;0;0;0;6;47
10111;2018;37;4;6;7;9;12;25;7;24;20;43;35
10111;2019;8;3;5;0;0;0;0;19;27;29;10;35
10112;2019;0;4;11;13;21;10;0;3;0;0;1;2
10112;2018;9;4;7;7;12;25;17;9;4;16;11;10
10112;2017;0;0;0;0;0;0;0;0;0;0;15;18
10113;2017;0;0;0;0;0;0;0;0;0;0;10;10
