sku;I;II;III;V;Descripcion;Articulo
14342;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Atum posta oleo 110gr general;Atum posta oleo 110gr general
14343;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Atum posta azeite 120gr general;Atum posta azeite 120gr general
14344;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Atum posta natural 110gr general;Atum posta natural 110gr general
14345;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Atum posta oleo 385gr general;Atum posta oleo 385gr general
14348;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Atum oregao 120gr general;Atum oregao 120gr general
14349;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinha oleo vegetal 125gr general;Sardinha oleo vegetal 125gr general
14350;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinhas oleo picante 125gr general;Sardinhas oleo picante 125gr general
14351;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinhas tomate 125gr general;Sardinhas tomate 125gr general
14352;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinhas tomate picante 125gr general;Sardinhas tomate picante 125gr general
14353;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinha azeite 125gr general;Sardinha azeite 125gr general
14354;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinhas natural 125gr ramirez;Sardinhas natural 125gr ramirez
14355;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Sardinhas s/pele s/espinhas oleo vegetal 125gr general;Sardinhas s/pele s/espinhas oleo vegetal 125gr general
14356;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Petingas oleo vegetal 90gr general;Petingas oleo vegetal 90gr general
14357;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Petingas tomate 90gr general;Petingas tomate 90gr general
14358;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Petingas tomate picante 90gr general;Petingas tomate picante 90gr general
14359;ALIMENTAR;MERCEARIA;SECO;CONSERVAS PEIXE;Anchovas estendidas oleo 40gr general;Anchovas estendidas oleo 40gr general
14361;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Ervilha kg;Ervilha kg
14363;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent colgate maximum cavity protection 214g                        ;P dent colgate maximum cavity protection 214g                        
14382;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;WHISKEY;Whisky johnnie walker red label 750ml;Whisky johnnie walker red label 750ml
14384;ALIMENTAR;MERCEARIA;FRESO;PADARIA;Pao portugues;Pao portugues
14399;ALIMENTAR;MERCEARIA;SECO;CHA;Cha tradicional Timor Lemon Grass 30gr;Cha tradicional Timor Lemon Grass 30gr
14414;NAO ALIMENTAR;PESSOAL;BEM ESTAR;DESODORIZANTES;Deo nivea aerosol dry men 250ml;Deo nivea aerosol dry men 250ml
14415;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre v.branco 6,5 250ml pet cristal;Vinagre v.branco 6,5 250ml pet cristal
14417;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre v.branco 6,5 750ml pet cristal;Vinagre v.branco 6,5 750ml pet cristal
14418;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre v.tinto 6,5 250ml pet cristal;Vinagre v.tinto 6,5 250ml pet cristal
14420;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre sidra 5 250ml pet cristal;Vinagre sidra 5 250ml pet cristal
14422;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre frutos vermelhos 500ml pet cristal;Vinagre frutos vermelhos 500ml pet cristal
14423;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Condimento balsamico 4.5 250ml pet cristal;Condimento balsamico 4.5 250ml pet cristal
14425;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Pickles jardineira 350gr vidro cristal;Pickles jardineira 350gr vidro cristal
14429;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Sumo limao 125ml pet cristal;Sumo limao 125ml pet cristal
14434;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre balsamico (d+) 6 250ml vidro cristal gourmet;Vinagre balsamico (d+) 6 250ml vidro cristal gourmet
14435;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre malte 5 250ml vidro cristal gourmet;Vinagre malte 5 250ml vidro cristal gourmet
14444;ALIMENTAR;MERCEARIA;SECO;CONSERVAS VEGETAIS;Pickles 850 grs vidro cristal;Pickles 850 grs vidro cristal
14448;ALIMENTAR;MERCEARIA;SECO;VINAGRES;Vinagre alcool cereal 4 500ml pet salador;Vinagre alcool cereal 4 500ml pet salador
14450;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Maionese 225ml top down salador;Maionese 225ml top down salador
14451;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Maionese 900ml poliet. salador;Maionese 900ml poliet. salador
14452;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Ketchup 250gr top down salador;Ketchup 250gr top down salador
14453;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Ketchup 950gr salador;Ketchup 950gr salador
14454;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Mostarda 250gr top down salador;Mostarda 250gr top down salador
14455;ALIMENTAR;MERCEARIA;SECO;MOLHOS;Mostarda 950g poliet. salador;Mostarda 950g poliet. salador
14464;ALIMENTAR;VINHO;VINHO ROSE;VINHO ROSE;Mateus rose fabulously fruity (aragones) 750ml;Mateus rose fabulously fruity (aragones) 750ml
14481;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Bolacha mini alfa 120gr;Bolacha mini alfa 120gr
14482;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereal +fibra total 300gr nacional;Cereal +fibra total 300gr nacional
14484;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO CHILE;Chateau los boldos t Shiraz 750ml;Chateau los boldos t Shiraz 750ml
14486;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ARGENTINA;Ff misterio malbec 750ml;Ff misterio malbec 750ml
14489;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO NEW ZELAND;Ribbonwood riesling 750ml;Ribbonwood riesling 750ml
14490;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO NEW ZELAND;Ribbonwood sauvignom blanc 750ml;Ribbonwood sauvignom blanc 750ml
14491;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO NEW ZELAND;Framingham classic riesling 750ml;Framingham classic riesling 750ml
14493;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO CHILE;Los Boldos Arkeo Chardonnay 750ml;Los Boldos Arkeo Chardonnay 750ml
14500;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO CHILE;Chateau Los Boldos Vielles Vignes Cab. Sauvignon 750ml;Chateau Los Boldos Vielles Vignes Cab. Sauvignon 750ml
14501;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO CHILE;Chateau Los Boldos Vielles Vignes Chardonnay 750ml;Chateau Los Boldos Vielles Vignes Chardonnay 750ml
14502;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO CHILE;Los Boldos Momentos Cab. Sauvigon 750ml;Los Boldos Momentos Cab. Sauvigon 750ml
14505;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO CHILE;Los Boldos Momentos Sauvignon Blanc 750ml;Los Boldos Momentos Sauvignon Blanc 750ml
14507;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ARGENTINA;Tanguero Cab. Sauvigon750ml;Tanguero Cab. Sauvigon750ml
14510;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ARGENTINA;Gestos Malbec750ml;Gestos Malbec750ml
14521;ALIMENTAR;MERCEARIA;SECO;CAFÉS;Cafe aroma ermera po 250gr;Cafe aroma ermera po 250gr
14548;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Cerveja bintang grf 330ml;Cerveja bintang grf 330ml
14549;ALIMENTAR;BEBIDAS;CERVEJA;CERVEJA COM ALCOOL;Cerveja bintang grf 620ml;Cerveja bintang grf 620ml
14554;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Alho seco kg;Alho seco kg
14562;ALIMENTAR;BEBIDAS;SUMOS;SUMOS SEM GAS 1L;Compal nectar ananas 1lt;Compal nectar ananas 1lt
14563;ALIMENTAR;BEBIDAS;SUMOS;SUMOS SEM GAS 1L;Compal nectar laranja 1lt;Compal nectar laranja 1lt
14564;ALIMENTAR;BEBIDAS;SUMOS;SUMOS SEM GAS 1L;Compal nectar manga 1lt;Compal nectar manga 1lt
14566;ALIMENTAR;BEBIDAS;SUMOS;SUMOS SEM GAS 200;Compal 100% laranja grf 200ml;Compal 100% laranja grf 200ml
14567;ALIMENTAR;BEBIDAS;SUMOS;SUMOS SEM GAS 200;Compal 100% maca grf 200ml;Compal 100% maca grf 200ml
14604;ALIMENTAR;VINHO;VINHO ROSE;VINHO ROSE;EA rose 750ml;EA rose 750ml
14606;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;EA b 750ml;EA b 750ml
14608;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;EA t 750ml;EA t 750ml
14609;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;EA t 1500ml;EA t 1500ml
14610;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;EA t 750ml reserva;EA t 750ml reserva
14614;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;Cartuxa b 750ml;Cartuxa b 750ml
14615;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Cartuxa t 750ml;Cartuxa t 750ml
14616;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Cartuxa t 750ml reserva;Cartuxa t 750ml reserva
14617;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;Pera manca b 750ml;Pera manca b 750ml
14618;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Pera manca t 750ml;Pera manca t 750ml
14649;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereal cookie crisp 375gr;Cereal cookie crisp 375gr
14654;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Convento vila t 750ml;Convento vila t 750ml
14656;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;Convento vila b 750ml;Convento vila b 750ml
14658;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Galitos t 750ml;Galitos t 750ml
14667;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Adega borba t 750ml;Adega borba t 750ml
14669;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO ALENTEJO;Adega borba b 750ml;Adega borba b 750ml
14672;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Adega borba premium t 750ml;Adega borba premium t 750ml
14673;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Adega coop borba reserva t 750ml (rot.cortica);Adega coop borba reserva t 750ml (rot.cortica)
14675;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO SETUBAL;Quinta carmo b 750ml;Quinta carmo b 750ml
14676;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Quinta carmo t 750ml;Quinta carmo t 750ml
14677;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO SETUBAL;Quinta bacalhoa b 750ml;Quinta bacalhoa b 750ml
14691;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Periquita original t cx 2x750ml;Periquita original t cx 2x750ml
14692;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Periquita t 1500ml cx cartao;Periquita t 1500ml cx cartao
14693;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Periquita t 3lt cx madeira;Periquita t 3lt cx madeira
14696;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;CHAMPAGNE;Moscatel roxo sparkling dsf private collection 750ml;Moscatel roxo sparkling dsf private collection 750ml
14698;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;Domini t 1500ml cx cartao;Domini t 1500ml cx cartao
14699;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;PORTO;Sandeman porto tawny c/ caixa cartao 750ml;Sandeman porto tawny c/ caixa cartao 750ml
14707;ALIMENTAR;MERCEARIA;SECO;BOLACHAS;Bolachas marinheiras chia 200gr;Bolachas marinheiras chia 200gr
14708;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais all bran kellog's 700gr;Cereais all bran kellog's 700gr
14710;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz cigala agulha 1kg;Arroz cigala agulha 1kg
14711;ALIMENTAR;MERCEARIA;SECO;ARROZ;Arroz mchef basmati 1kg;Arroz mchef basmati 1kg
14712;ALIMENTAR;MERCEARIA;SECO;GELATINAS;Gelatina branca 4 folhas mchef;Gelatina branca 4 folhas mchef
14720;ALIMENTAR;MERCEARIA;SECO;OLEO;Oleo de palma;Oleo de palma
14721;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Corn flakes kellogg's 500gr;Corn flakes kellogg's 500gr
14722;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais rice krispies kellog's 375gr;Cereais rice krispies kellog's 375gr
14723;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais kellog's choco krispies 375gr;Cereais kellog's choco krispies 375gr
14724;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais special k kellogg's 750gr;Cereais special k kellogg's 750gr
14725;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Cereais special k kellogg's frutos vermelhos 300gr;Cereais special k kellogg's frutos vermelhos 300gr
14727;ALIMENTAR;MERCEARIA;SECO;AUXILIARES DE CULINARIA;Fermento royal lata 8 oz 226gr;Fermento royal lata 8 oz 226gr
14730;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Barras cereais special k chocolate 6x21,5gr;Barras cereais special k chocolate 6x21,5gr
14731;ALIMENTAR;MERCEARIA;SECO;CEREAIS;Barras cereais special k frutos vermelhos 6x21,5gr;Barras cereais special k frutos vermelhos 6x21,5gr
14733;ALIMENTAR;MERCEARIA;SECO;FARINHA;Amido de milho espiga 500g;Amido de milho Espiga 4x500gr
14737;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Amendoa c/ pele frutorra 150gr;Amendoa c/ pele frutorra 150gr
14739;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Amendoa s/ pele frutorra 150gr;Amendoa s/ pele frutorra 150gr
14741;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Amendoim frito c/sal frutorra 150g;Amendoim frito c/sal 150gr frutorra
14742;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Caju frutorra c/ piripiri 150gr;Caju frutorra c/ piripiri 150gr
14743;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Caju frutorra c/ sal 150gr;Caju frutorra c/ sal 150gr
14746;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Passa uva frutorra 150gr;Passa uva frutorra 150gr
14748;ALIMENTAR;MERCEARIA;SECO;FRUTOS SECOS;Pistachios torrados com sal 150gr;Pistachios torrados com sal 150gr
14759;NAO ALIMENTAR;PESSOAL;BEM ESTAR;DESODORIZANTES;Deo nivea silver protect spray men 250ml;Deo nivea silver protect spray men 250ml
14827;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent colgate herbal 100ml;P dent colgate herbal 100ml
14828;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent colgate herbal white 100ml;P dent colgate herbal white 100ml
14831;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;Esc dent colgate classic deep clean medium;Esc dent colgate classic deep clean medium
14834;ALIMENTAR;MERCEARIA;FRESO;LEGUMES;Beringela timor kg;Beringela timor kg
14835;NAO ALIMENTAR;PESSOAL;HIGIENE;HIGIENE ORAL;P dent colgate grf 145ml;P dent colgate grf 145ml
14836;NAO ALIMENTAR;PESSOAL;BEM ESTAR;BARBEAR;Maq barbear bic twin Select;Maq barbear bic twin Select
