"","sku","stock_actual","prevision_total","stock_meses","PC_medio","Altura","Largura","Comprimento","valor_stock_usd","stock_meses_1"
"1105","18615",0,"    0,0",0,"   0,980","0,02","1","1","    0,00",12
"1106","18617",0,"    0,0",0,"   0,125","0,002","1","1","    0,00",12
"1107","18626",17,"  116,7",0,"   1,350","0,002","1","1","   22,95",0
"1108","18631",77,"    1,4",12,"   1,240","0,006","1","1","   95,48",12
"1109","18646",30,"    0,0",0,"   0,540","0,17","0,075","0,1","   16,20",12
"1110","18666",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1111","18671",12,"    0,0",0,"  21,350","0,34","0,29","0,12","  256,20",12
"1112","18673",403,"  383,5",1,"   3,961","0,245","0,315","0,165"," 1596,13",1
"1113","18675",16,"    0,0",0,"  90,870","0,21","0,292","0,33"," 1453,92",12
"1114","18677",0,"    0,0",0,"   0,390","0,003","1","1","    0,00",12
"1115","18680",27,"   10,3",2,"   0,940","0,007","1","1","   25,38",2
"1116","18682",17,"    4,1",4,"   0,980","0,009","1","1","   16,66",4
"1117","18688",0,"    0,0",0,"   0,247","0,18","0,29","0,39","    0,00",12
"1118","18689",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1119","18701",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1120","18718",10,"    0,0",0," 215,950","0,127","0,292","0,33"," 2159,50",12
"1121","18721",0,"    0,0",0,"   7,090","0,122","1","1","    0,00",12
"1122","18728",0,"    0,0",0,"  12,830","0,112","1","1","    0,00",12
"1123","18747",47,"   34,3",1,"   3,990","0,337","0,155","0,228","  187,53",1
"1124","18757",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1125","18791",0,"    0,0",0,"   7,770","0,054","1","1","    0,00",12
"1126","18800",0,"    0,0",0,"  11,520","0,054","1","1","    0,00",12
"1127","18803",0,"    0,0",0,"   5,000","0,051","1","1","    0,00",12
"1128","18808",9,"   64,7",0,"  10,660","0,167","0,243","0,305","   95,94",0
"1129","18809",46,"    1,0",12,"  21,755","0,38","0,123","0,126"," 1000,73",12
"1130","18815",3,"    0,0",0," 166,780","0,53","0,185","0,182","  500,34",12
"1131","18822",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1132","18840",174,"    0,0",0,"   3,310","0,122","1","1","  575,94",12
"1133","18841",131,"    0,0",0,"   3,310","0,122","1","1","  433,61",12
"1134","18843",175,"    0,0",0,"   6,360","0,122","1","1"," 1113,00",12
"1135","18846",213,"    0,0",0,"   6,360","0,122","1","1"," 1354,68",12
"1136","18849",0,"    0,0",0,"   3,903","0,012","1","1","    0,00",12
"1137","18987",56,"  108,0",0,"   3,301","0,24","0,27","0,37","  184,87",0
"1138","18991",104,"  125,0",0,"   1,918","0,23","0,215","0,375","  199,47",0
"1139","18992",99,"  104,6",0,"   1,780","0,235","0,252","0,315","  176,22",0
"1140","19002",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1141","19012",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1142","19026",0,"    0,0",0,"   1,750","0","0","0","    0,00",12
"1143","19034",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1144","19044",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1145","19051",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1146","19053",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1147","19102",0,"    0,0",0,"   1,892","0","0","0","    0,00",12
"1148","19105",0," 1770,0",0,"   0,000","0","0","0","    0,00",0
"1149","191202",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1150","191209",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1151","19121",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1152","19123",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1153","19133",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1154","19135",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1155","19137",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1156","19143",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1157","19145",0,"    0,0",0,"   1,417","0","0","0","    0,00",12
"1158","19147",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1159","19150",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1160","19156",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1161","19158",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1162","19171",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1163","19174",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1164","19184",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1165","19192",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1166","19198",0,"    0,0",0,"   0,991","0","0","0","    0,00",12
"1167","19199",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1168","19202",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1169","19205",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1170","19207",22,"   48,7",0,"   2,334","0","0","0","   51,35",0
"1171","19214",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1172","19226",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1173","19234",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1174","19250",33,"    0,0",0,"  24,727","0","0","0","  816,00",12
"1175","19252",0,"    0,0",0,"   1,500","0","0","0","    0,00",12
"1176","19266",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1177","19276",0,"    0,0",0," 180,000","0","0","0","    0,00",12
"1178","19281",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1179","19283",0,"    0,0",0,"   2,200","0","0","0","    0,00",12
"1180","18955",0,"    0,0",0,"   0,950","0","0","0","    0,00",12
"1181","18962",15,"   43,0",0,"   2,200","0,265","0,165","0,397","   33,00",0
"1182","18963",2,"    1,0",2,"   2,163","0,265","0,165","0,397","    4,33",2
"1183","18980",244,"  271,7",0,"   0,890","0,12","0,18","0,4","  217,16",0
"1184","18985",78,"  155,5",0,"   1,970","0,2","0,225","0,25","  153,68",0
"1185","18989",60,"   53,2",1,"   1,080","0,15","0,18","0,42","   64,80",1
"1186","18993",24,"   71,8",0,"   2,230","0,23","0,205","0,055","   53,52",0
"1187","18995",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1188","18999",98,"   21,5",4,"   1,280","0,14","0,14","0,21","  125,44",4
"1189","19005",0,"    0,0",0,"   0,797","0","0","0","    0,00",12
"1190","19007",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1191","19008",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1192","19015",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1193","19016",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1194","19017",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1195","19025",0,"    0,0",0,"   1,407","0","0","0","    0,00",12
"1196","19027",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1197","19028",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1198","19030",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1199","19031",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1200","19040",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1201","19041",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1202","19050",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1203","19052",0,"    0,0",0,"   3,850","0","0","0","    0,00",12
"1204","19054",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1205","19067",43,"  276,4",0,"   1,000","0","0","0","   43,00",0
"1206","19068",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1207","19071",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1208","19095",0,"    0,0",0,"   2,300","0","0","0","    0,00",12
"1209","19097",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1210","19100",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1211","19103",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1212","19106",0,"  132,0",0,"   0,000","0","0","0","    0,00",0
"1213","19111",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1214","191204",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1215","191208",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
