sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
12552;Potato crisps tomato 160gr jacker;Potato crisps tomato 160g;Normal;1,6;1,143;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12553;Potato crisps vegetables 160gr jacker;Potato crisps vegetables;Normal;1,6;1,143;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12555;Rebentos soja uni;Rebentos soja;Normal;2;1,5;FALSO;OCEAN VIEW BEACH HOTEL;LOJA;0;0;0;0
13311;Corvina posta 1kg;Corvina posta 1kg;Normal;22,5;10,692;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;0;0,15;0,26;0,4
13312;Delicias mar 250gr;Delicias mar 250gr;Normal;2,9;1,4;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;10,5;0,14;0,31;0,38
13315;Fava extra 400gr;Fava extra 400gr;Normal;3,5;1,68235;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;8,4;0,27;0,255;0,385
13319;Delicias lagosta 250gr;Delicias lagosta 250gr;Normal;4,15;2,05071;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;10,5;0,13;0,285;0,425
13326;Milho doce 400gr;Milho doce 400gr;Normal;3,8;1,79;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;8,4;0,27;0,255;0,385
12558;Cheese balls 60gr oriental;Cheese balls 60gr orienta;Normal;0,95;0,693478;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
12559;Super ring cheese 60gr oriental;Super ring cheese 60gr or;Normal;0,95;0,694444;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;LOJA;0;0;0;0
13335;Sardinha congelada 1kg;Sardinha congelada 1kg;Normal;7,9;3,64;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;9,45;0,23;0,27;0,4
13344;Tamboril lombos;Tamboril lombos;Normal;18,5;8,822699;FALSO;ALCIDES SANTOS ANTUNES, LDA (ASA CONGELADOS);LOJA;0;0,15;0,26;0,4
13366;Novilho picanha fatiada kg;Novilho picanha fatiada k;Normal;27;13,49;FALSO;ALFREDO SILVA BARBOSA LDA (REALSABOR);LOJA;0;0,14;0,26;0,4
13370;Pato cong 2.4Kg;Pato cong 2.4Kg;Normal;21;9,703;FALSO;ALFREDO SILVA BARBOSA LDA (REALSABOR);LOJA;0;0,2;0,4;0,53
13399;Chocolate culinaria pantagruel 200gr;Chocolate p/ culinaria 20;Normal;3,5;1,70002;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;26,577;0,003;1;1
